Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.278247	0.241824	0.873537	0.893419	
0.001000	0.261102	0.213457	0.900204	0.905300	
0.001000	0.313356	0.303258	0.862634	0.869448	
0.001000	0.325132	0.229688	0.884942	0.896957	
0.001000	0.263426	0.213831	0.901142	0.905744	
0.001000	0.238951	0.207170	0.905408	0.908450	
0.001000	0.282284	0.203793	0.907410	0.910183	
0.001000	0.354649	0.200491	0.908500	0.908709	
0.001000	0.209247	0.204089	0.909597	0.911670	
0.001000	0.226733	0.193012	0.910565	0.911061	
0.000100	0.228175	0.184069	0.914733	0.915625	
0.000100	0.228305	0.183086	0.915581	0.916375	
0.000100	0.236705	0.179558	0.916021	0.916730	
0.000100	0.220820	0.176888	0.916302	0.916672	
0.000100	0.248363	0.178907	0.916589	0.917212	
0.000100	0.224277	0.180027	0.916918	0.917201	
0.000100	0.219019	0.174159	0.917073	0.917007	
0.000100	0.246605	0.175664	0.917395	0.917416	
0.000100	0.271721	0.171826	0.917523	0.917373	
0.000100	0.236521	0.177043	0.917669	0.917545	
0.000010	0.223854	0.175785	0.918415	0.917686	
0.000010	0.208420	0.179372	0.918555	0.917709	
0.000010	0.198549	0.175868	0.918611	0.917610	
0.000010	0.185077	0.169829	0.918726	0.917822	
0.000010	0.222272	0.182601	0.918797	0.917898	
0.000010	0.221622	0.176959	0.918927	0.917967	
0.000010	0.230402	0.175682	0.918875	0.917734	
0.000010	0.201113	0.181620	0.918891	0.917908	
0.000010	0.204335	0.174458	0.918917	0.917987	
0.000010	0.218524	0.186401	0.918972	0.918070

best acc: 0.9181 30th
