Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.249160	0.260086	0.874469	0.898076	
0.001000	0.227283	0.214748	0.900051	0.905558	
0.001000	0.202128	0.204016	0.904684	0.906883	
0.001000	0.217320	0.191535	0.907206	0.908968	
0.001000	0.194288	0.203900	0.908983	0.912111	
0.001000	0.196021	0.190880	0.910049	0.911870	
0.001000	0.175401	0.201883	0.910948	0.910478	
0.001000	0.182278	0.188403	0.911514	0.912994	
0.001000	0.201892	0.192663	0.912032	0.913208	
0.001000	0.222291	0.188253	0.912491	0.913254	
0.001000	0.262082	0.197866	0.912772	0.913344	
0.001000	0.228233	0.191701	0.913187	0.914572	
0.001000	0.245991	0.184444	0.913611	0.913614	
0.001000	0.249257	0.192225	0.913893	0.913779	
0.001000	0.224614	0.186094	0.913952	0.914500	
0.001000	0.223312	0.203954	0.914253	0.913490	
0.001000	0.209770	0.184585	0.914343	0.914344	
0.001000	0.204301	0.185126	0.914565	0.913782	
0.001000	0.220432	0.186952	0.914814	0.913979	
0.001000	0.198091	0.186715	0.914914	0.914203	
0.000100	0.214291	0.180169	0.918571	0.918295	
0.000100	0.203220	0.167731	0.919255	0.918324	
0.000100	0.238267	0.173067	0.919744	0.917766	
0.000100	0.237543	0.170159	0.919951	0.917749	
0.000100	0.195724	0.181676	0.920139	0.918022	
0.000100	0.203205	0.179276	0.920243	0.917859	
0.000100	0.213660	0.176104	0.920481	0.918263	
0.000100	0.191967	0.177554	0.920615	0.918897	
0.000100	0.216653	0.173512	0.920712	0.918770	
0.000100	0.204000	0.170488	0.920791	0.918245	
0.000100	0.189801	0.176691	0.920923	0.918723	
0.000100	0.213047	0.179239	0.921051	0.918449	
0.000100	0.193937	0.174596	0.921214	0.918459	
0.000100	0.213910	0.175837	0.921324	0.918183	
0.000100	0.189381	0.180366	0.921433	0.917992	
0.000100	0.174291	0.175240	0.921508	0.918009	
0.000100	0.217019	0.177722	0.921549	0.918071	
0.000100	0.224321	0.173815	0.921640	0.917740	
0.000100	0.231826	0.177354	0.921791	0.917778	
0.000100	0.213598	0.173910	0.921877	0.918610	
0.000010	0.242541	0.173612	0.922364	0.918522	
0.000010	0.195634	0.172448	0.922583	0.918255	
0.000010	0.201068	0.175259	0.922625	0.918521	
0.000010	0.192964	0.173072	0.922619	0.918332	
0.000010	0.190743	0.182924	0.922634	0.918368	
0.000010	0.213160	0.176103	0.922608	0.918113	
0.000010	0.222685	0.178467	0.922769	0.918584	
0.000010	0.205374	0.181310	0.922835	0.917811	
0.000010	0.231241	0.172108	0.922643	0.918594	
0.000010	0.208696	0.174077	0.922770	0.918239	
