Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.288800	0.235401	0.873517	0.896689	
0.001000	0.224693	0.225318	0.900416	0.904096	
0.001000	0.197220	0.214125	0.904983	0.908222	
0.001000	0.223036	0.209746	0.907308	0.910140	
0.001000	0.183890	0.200534	0.908895	0.911064	
0.001000	0.153305	0.199235	0.910002	0.912626	
0.001000	0.206016	0.211212	0.910879	0.908801	
0.001000	0.205011	0.200407	0.911566	0.911762	
0.001000	0.220663	0.200891	0.912002	0.910954	
0.001000	0.218507	0.242540	0.912439	0.907529	
0.000100	0.207995	0.183550	0.916930	0.916949	
0.000100	0.209196	0.185201	0.917835	0.917972	
0.000100	0.219785	0.181842	0.918153	0.917516	
0.000100	0.233671	0.180729	0.918583	0.918087	
0.000100	0.238789	0.179216	0.918857	0.917552	
0.000100	0.246304	0.176376	0.919021	0.917708	
0.000100	0.208277	0.185392	0.919258	0.918424	
0.000100	0.220809	0.180079	0.919432	0.917797	
0.000100	0.194967	0.179060	0.919584	0.918318	
