Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.229137	0.224735	0.892083	0.903819	
0.001000	0.200678	0.206212	0.906494	0.908610	
0.001000	0.198066	0.204466	0.910124	0.910655	
0.001000	0.200293	0.194317	0.912188	0.913447	
0.001000	0.181650	0.192742	0.913615	0.914746	
0.001000	0.179850	0.186935	0.914700	0.914118	
0.001000	0.185350	0.184922	0.915588	0.914946	
0.001000	0.195257	0.185608	0.916386	0.916031	
0.001000	0.203370	0.179979	0.916992	0.915211	
0.001000	0.171969	0.187950	0.917609	0.915940	
0.000100	0.206705	0.179471	0.920171	0.918308	
0.000100	0.208876	0.179413	0.920646	0.918191	
0.000100	0.208835	0.183324	0.920817	0.918169	
0.000100	0.210410	0.180018	0.921078	0.918271	
0.000100	0.214205	0.179232	0.921267	0.918360	
0.000100	0.212041	0.180153	0.921405	0.917880	
0.000100	0.198746	0.184207	0.921541	0.918273	
0.000100	0.210677	0.178935	0.921695	0.918140	
