Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000100	0.257644	0.239866	0.884882	0.897016	
0.000100	0.235455	0.222406	0.900840	0.903381	
0.000100	0.219594	0.207074	0.904671	0.905447	
0.000100	0.198913	0.191576	0.907050	0.909302	
0.000100	0.217809	0.211100	0.908766	0.906628	
0.000100	0.217476	0.200789	0.910037	0.910258	
0.000100	0.204385	0.193761	0.911082	0.912126	
0.000100	0.210935	0.190214	0.912033	0.912864	
0.000100	0.188897	0.185814	0.912735	0.912531	
0.000100	0.176611	0.194460	0.913469	0.911666	
0.000100	0.232210	0.183243	0.913901	0.912960	
0.000100	0.200955	0.194622	0.914602	0.915405	
0.000100	0.203319	0.178834	0.915124	0.913332	
0.000100	0.222438	0.187558	0.915584	0.915473	
0.000100	0.225916	0.176637	0.916016	0.915653	
0.000100	0.219058	0.175524	0.916421	0.916393	
0.000100	0.226366	0.187537	0.916764	0.915229	
0.000100	0.211446	0.183976	0.916970	0.915962	
0.000100	0.195483	0.176584	0.917566	0.915908	
0.000100	0.240871	0.183889	0.917902	0.916175	
0.000010	0.192212	0.179873	0.920763	0.918722	
0.000010	0.231736	0.170943	0.921403	0.918746	
0.000010	0.222896	0.172728	0.921576	0.918971	
0.000010	0.229246	0.170800	0.921698	0.918993	
0.000010	0.206282	0.178261	0.921804	0.918803	
0.000010	0.229080	0.179549	0.921947	0.918761	
0.000010	0.232532	0.171200	0.922108	0.918896	
0.000010	0.203332	0.171138	0.922196	0.918946	
0.000010	0.197289	0.181280	0.922349	0.918949	
0.000010	0.231503	0.179551	0.922337	0.919186	
0.000010	0.232042	0.173912	0.922486	0.918628	
0.000010	0.211266	0.171243	0.922518	0.918787	
0.000010	0.176856	0.179801	0.922595	0.917822	
0.000010	0.197428	0.166442	0.922764	0.918738	
0.000010	0.212626	0.176631	0.922828	0.918843	
0.000010	0.220203	0.182016	0.922790	0.918737	
0.000010	0.202978	0.178411	0.922907	0.918473	
0.000010	0.244051	0.172685	0.923057	0.918682	
0.000010	0.204714	0.180410	0.923141	0.918600	
0.000010	0.237585	0.171213	0.923196	0.918858	
0.000001	0.207781	0.176477	0.923598	0.918881	
0.000001	0.199576	0.181873	0.923639	0.918820	
0.000001	0.236634	0.183569	0.923674	0.918609	
0.000001	0.204978	0.170968	0.923679	0.918977	
0.000001	0.204505	0.180405	0.923727	0.919194	
0.000001	0.220177	0.179676	0.923693	0.919073	
0.000001	0.193333	0.174412	0.923676	0.918916	
0.000001	0.204833	0.164452	0.923730	0.919050	
0.000001	0.185660	0.178883	0.923665	0.919069	
0.000001	0.205189	0.180592	0.923740	0.919083	
