Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000100	0.240446	0.237988	0.884747	0.898923	
0.000100	0.215314	0.216374	0.900567	0.903731	
0.000100	0.222110	0.208344	0.904466	0.907082	
0.000100	0.215905	0.194963	0.906957	0.909174	
0.000100	0.229648	0.198017	0.908683	0.910302	
0.000100	0.180124	0.202682	0.909956	0.910758	
0.000100	0.193806	0.192040	0.911063	0.911318	
0.000100	0.188585	0.186621	0.912012	0.912012	
0.000100	0.180679	0.183514	0.912766	0.913996	
0.000100	0.191036	0.183714	0.913563	0.912869	
0.000010	0.229142	0.180206	0.917206	0.917706	
0.000010	0.294669	0.175904	0.917763	0.917423	
0.000010	0.208020	0.177611	0.917948	0.917680	
0.000010	0.219041	0.170722	0.918262	0.917895	
0.000010	0.213176	0.172155	0.918379	0.917769	
0.000010	0.227957	0.178352	0.918539	0.917389	
0.000010	0.227182	0.177018	0.918716	0.918044	
0.000010	0.230491	0.172882	0.918871	0.918146	
0.000010	0.218820	0.181375	0.918992	0.917308	
0.000010	0.224376	0.173323	0.919054	0.918474	
0.000001	0.236240	0.166959	0.919602	0.918649	
0.000001	0.227717	0.165959	0.919708	0.918084	
0.000001	0.216018	0.174064	0.919678	0.918426	
