Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000100	0.230190	0.226492	0.884232	0.896689	
0.000100	0.272740	0.235963	0.900208	0.900035	
0.000100	0.201658	0.206839	0.904485	0.906184	
0.000100	0.217396	0.210057	0.906780	0.908163	
0.000100	0.202043	0.200314	0.908538	0.909559	
0.000100	0.184088	0.201678	0.909924	0.911184	
0.000100	0.177976	0.192827	0.910916	0.912298	
0.000100	0.191176	0.191828	0.911967	0.911028	
0.000100	0.205283	0.186636	0.912758	0.913376	
0.000100	0.205464	0.185480	0.913362	0.913756	
0.000010	0.217159	0.181171	0.917113	0.917286	
0.000010	0.252091	0.183714	0.917768	0.916984	
0.000010	0.224139	0.180031	0.917984	0.917169	
0.000010	0.220670	0.183112	0.918264	0.918068	
0.000010	0.239416	0.177739	0.918467	0.917515	
0.000010	0.199988	0.179240	0.918504	0.918285	
0.000010	0.217876	0.176115	0.918753	0.917602	
0.000010	0.230301	0.183828	0.918905	0.917963	
0.000010	0.192580	0.183036	0.918890	0.917662	
0.000010	0.213734	0.180762	0.919094	0.918053	
